Date,SPY_PER,SPY_EPS,SPY_signal
2003-04-01,-15.760000000000002,6.350000000000001,회복
2003-05-01,-13.169999999999998,7.080000000000002,회복
2003-06-01,-9.32,7.809999999999999,회복
2003-07-01,-4.800000000000001,8.05,회복
2003-08-01,-4.960000000000001,8.3,회복
2003-09-01,-2.469999999999999,8.54,회복
2003-10-01,-4.5,12.75,회복
2003-11-01,-8.880000000000003,16.94,회복
2003-12-01,-10.420000000000002,21.150000000000002,회복
2004-01-01,-8.7,21.33,회복
2004-02-01,-6.0,21.499999999999996,회복
2004-03-01,-6.300000000000001,21.68,회복
2004-04-01,-6.82,21.650000000000002,회복
2004-05-01,-8.11,21.630000000000003,회복
2004-06-01,-8.43,21.6,회복
2004-07-01,-8.149999999999999,20.799999999999997,회복
2004-08-01,-7.539999999999999,19.989999999999995,회복
2004-09-01,-7.07,19.190000000000005,회복
2004-10-01,-5.5,16.060000000000002,회복
2004-11-01,-3.099999999999998,12.939999999999998,회복
2004-12-01,-1.6900000000000013,9.809999999999995,회복
2005-01-01,-2.740000000000002,9.280000000000001,회복
2005-02-01,-2.3500000000000014,8.75,회복
2005-03-01,-1.7800000000000011,8.219999999999999,회복
2005-04-01,-2.210000000000001,7.849999999999994,회복
2005-05-01,-1.1999999999999993,7.479999999999997,회복
2005-06-01,-1.1700000000000017,7.109999999999999,회복
2005-07-01,-0.5100000000000016,7.640000000000001,회복
2005-08-01,-0.3100000000000023,8.170000000000009,회복
2005-09-01,-0.9100000000000001,8.699999999999996,회복
2005-10-01,-1.6099999999999994,9.560000000000002,회복
2005-11-01,-2.039999999999999,10.419999999999995,회복
2005-12-01,-2.41,11.280000000000001,회복
2006-01-01,-1.9199999999999982,11.670000000000002,회복
2006-02-01,-2.3099999999999987,12.060000000000002,회복
2006-03-01,-2.039999999999999,12.450000000000003,회복
2006-04-01,-1.25,12.050000000000004,회복
2006-05-01,-1.4699999999999989,11.629999999999995,회복
2006-06-01,-2.1799999999999997,11.229999999999997,회복
2006-07-01,-2.3900000000000006,11.519999999999996,회복
2006-08-01,-2.049999999999997,11.809999999999988,회복
2006-09-01,-1.6700000000000017,12.099999999999994,회복
2006-10-01,-0.5,11.959999999999994,회복
2006-11-01,-0.7700000000000031,11.820000000000007,회복
2006-12-01,-0.6900000000000013,11.680000000000007,회복
2007-01-01,-0.7100000000000009,11.280000000000001,회복
2007-02-01,-0.3100000000000023,10.879999999999995,회복
2007-03-01,-0.879999999999999,10.480000000000004,회복
2007-04-01,-0.28999999999999915,10.459999999999994,회복
2007-05-01,0.46000000000000085,10.450000000000003,상승
2007-06-01,1.009999999999998,10.430000000000007,상승
2007-07-01,1.75,6.960000000000008,상승
2007-08-01,1.3499999999999979,3.5,상승
2007-09-01,2.280000000000001,0.030000000000001137,상승
2007-10-01,3.539999999999999,-5.090000000000003,정상
2007-11-01,3.5700000000000003,-10.210000000000008,정상
2007-12-01,4.970000000000002,-15.329999999999998,정상
2008-01-01,4.100000000000001,-17.810000000000002,정상
2008-02-01,4.25,-20.279999999999994,정상
2008-03-01,4.889999999999997,-22.760000000000005,정상
2008-04-01,6.399999999999999,-26.359999999999992,정상
2008-05-01,7.879999999999999,-29.949999999999996,정상
2008-06-01,8.280000000000001,-33.550000000000004,정상
2008-07-01,7.010000000000002,-33.25,정상
2008-08-01,8.809999999999999,-32.949999999999996,정상
2008-09-01,7.43,-32.64999999999999,정상
2008-10-01,6.539999999999999,-38.86999999999999,정상
2008-11-01,14.180000000000003,-45.08,정상
2008-12-01,36.629999999999995,-51.300000000000004,정상
2009-01-01,49.43,-52.04,정상
2009-02-01,62.75,-52.79,정상
2009-03-01,88.56,-53.53,정상
2009-04-01,95.92,-50.300000000000004,정상
2009-05-01,97.99000000000001,-47.09,정상
