"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2022","273.45","270.60","274.78","269.74","44.60M","1.45%"
"12/20/2022","269.54","268.56","271.32","266.95","49.70M","-0.08%"
"12/19/2022","269.75","273.87","273.96","268.49","43.35M","-1.64%"
"12/16/2022","274.25","276.20","277.77","272.61","68.30M","-0.95%"
"12/15/2022","276.89","282.33","283.01","275.67","59.48M","-3.36%"
"12/14/2022","286.51","288.05","291.41","283.19","63.74M","-0.74%"
"12/13/2022","288.65","296.65","296.88","285.91","79.70M","1.08%"
"12/12/2022","285.58","282.22","285.64","281.16","35.21M","1.26%"
"12/09/2022","282.04","282.81","285.64","281.59","47.86M","-0.64%"
"12/08/2022","283.85","281.91","284.84","279.79","42.27M","1.18%"
"12/07/2022","280.53","280.47","282.57","278.78","44.42M","-0.41%"
"12/06/2022","281.68","287.48","287.62","280.26","53.94M","-2.07%"
"12/05/2022","287.64","290.38","291.68","286.15","40.12M","-1.68%"
"12/02/2022","292.55","288.54","293.45","288.36","53.58M","-0.40%"
"12/01/2022","293.72","293.69","295.75","290.88","51.55M","0.12%"
"11/30/2022","293.36","280.84","293.47","279.97","74.72M","4.56%"
"11/29/2022","280.57","282.94","283.35","279.17","35.62M","-0.76%"
"11/28/2022","282.71","284.90","286.96","281.76","38.88M","-1.47%"
"11/25/2022","286.92","287.19","287.91","286.42","15.50M","-0.66%"
"11/23/2022","288.82","285.97","289.46","285.79","46.39M","1.00%"
"11/22/2022","285.95","282.64","286.11","280.46","41.87M","1.44%"
"11/21/2022","281.89","283.40","284.58","281.04","40.08M","-1.03%"
"11/18/2022","284.82","287.89","287.99","282.32","53.59M","0.00%"
"11/17/2022","284.81","280.88","286.32","280.72","55.46M","-0.22%"
"11/16/2022","285.44","287.39","289.48","284.60","48.86M","-1.36%"
"11/15/2022","289.39","292.21","293.26","285.97","73.99M","1.38%"
"11/14/2022","285.44","285.86","289.21","284.44","55.08M","-0.88%"
"11/11/2022","287.96","282.56","288.64","281.19","66.96M","1.84%"
"11/10/2022","282.75","276.01","283.05","273.85","99.26M","7.38%"
"11/09/2022","263.32","267.76","268.56","263.03","64.86M","-2.31%"
"11/08/2022","269.54","269.14","272.85","265.52","63.21M","0.73%"
"11/07/2022","267.59","265.75","268.14","263.57","47.33M","1.10%"
"11/04/2022","264.68","265.53","266.61","259.08","78.31M","1.61%"
"11/03/2022","260.49","263.01","264.50","260.10","70.04M","-1.95%"
"11/02/2022","265.68","275.08","278.21","265.61","79.80M","-3.43%"
"11/01/2022","275.11","281.49","282.07","274.74","45.90M","-1.02%"
"10/31/2022","277.95","278.92","279.76","275.99","47.74M","-1.16%"
"10/28/2022","281.22","272.23","281.70","272.06","62.65M","3.06%"
"10/27/2022","272.87","276.79","278.28","272.34","57.76M","-1.82%"
"10/26/2022","277.93","278.46","283.98","277.43","63.90M","-2.21%"
"10/25/2022","284.21","279.41","284.60","277.90","59.01M","2.07%"
"10/24/2022","278.45","275.69","279.40","271.97","63.96M","1.10%"
"10/21/2022","275.42","267.98","275.97","266.82","77.90M","2.34%"
"10/20/2022","269.11","269.58","274.84","267.92","60.61M","-0.51%"
"10/19/2022","270.49","269.93","273.68","268.07","53.12M","-0.36%"
"10/18/2022","271.48","276.53","277.21","268.74","69.78M","0.79%"
"10/17/2022","269.35","266.84","270.24","266.74","64.58M","3.30%"
"10/14/2022","260.74","271.20","271.81","260.14","77.24M","-3.01%"
"10/13/2022","268.82","255.16","270.17","254.26","112.89M","2.35%"
"10/12/2022","262.66","263.40","265.36","261.95","50.58M","-0.03%"
"10/11/2022","262.75","264.70","267.63","261.03","66.52M","-1.37%"
"10/10/2022","266.41","269.30","269.70","263.64","60.39M","-1.00%"
"10/07/2022","269.10","275.02","275.15","267.74","71.35M","-3.81%"
"10/06/2022","279.76","280.96","284.18","279.43","53.49M","-0.79%"
"10/05/2022","281.98","278.28","283.81","275.42","55.77M","-0.05%"
"10/04/2022","282.13","278.99","282.85","278.99","66.70M","3.14%"
"10/03/2022","273.53","269.07","275.16","267.53","61.27M","2.35%"
"09/30/2022","267.26","271.03","275.19","267.10","78.48M","-1.70%"
"09/29/2022","271.87","275.86","276.25","268.84","81.22M","-2.88%"
"09/28/2022","279.94","274.46","281.25","272.95","79.65M","1.99%"
"09/27/2022","274.48","277.81","280.21","272.11","69.78M","0.04%"
"09/26/2022","274.37","275.03","279.49","273.56","71.18M","-0.41%"
"09/23/2022","275.51","277.55","277.85","272.02","74.82M","-1.63%"
"09/22/2022","280.07","282.00","283.03","278.82","62.76M","-1.23%"
"09/21/2022","283.56","289.59","293.95","283.42","82.93M","-1.79%"
"09/20/2022","288.73","288.49","291.07","286.38","51.27M","-0.80%"
"09/19/2022","291.05","286.10","291.21","286.04","52.61M","0.60%"
"09/16/2022","289.32","287.72","289.72","285.62","79.92M","-0.61%"
