,DAA
2018-07-25,104.37794944100014
2018-07-26,104.39685744100015
2018-07-27,104.38740344100015
2018-07-30,104.39685744100015
2018-07-31,104.40631144100014
2018-08-01,104.13769844100014
2018-08-02,104.75365544100015
2018-08-03,105.07669944100016
2018-08-07,105.34152144100015
2018-08-09,105.72273544100014
2018-08-10,105.84967244100015
2018-08-13,105.67144544100015
2018-08-14,105.90053744100014
2018-08-15,105.62338044100017
2018-08-16,105.96439844100014
2018-08-17,106.09586744100017
2018-08-20,106.53960644100017
2018-08-21,106.66333744100015
2018-08-22,106.97177244100016
2018-08-23,106.86810444100014
2018-08-24,107.24740844100016
2018-08-27,107.29342244100017
2018-08-28,107.21804144100017
2018-08-29,107.51809944100017
2018-08-30,107.55479944100017
2018-08-31,107.66792144100017
2018-09-04,107.28173244100017
2018-09-05,106.87576244100015
2018-09-06,106.76251644100014
2018-09-07,106.20454544100015
2018-09-10,106.29598744100015
2018-09-11,106.15093744100015
2018-09-12,106.17998844100019
2018-09-13,106.4573534410002
2018-09-14,106.29458144100018
2018-09-17,105.76593844100017
2018-09-18,105.50491744100017
2018-09-19,105.35697544100019
2018-09-20,105.91932244100018
2018-09-21,105.59925344100017
2018-09-24,105.39199444100016
2018-09-25,105.32701544100016
2018-09-26,105.09819844100016
2018-09-27,105.41834544100016
2018-09-28,105.51888244100017
2018-10-01,105.35646444100018
2018-10-02,105.34691044100019
2018-10-03,105.3660184410002
2018-10-04,105.38512644100018
2018-10-05,105.38512644100018
2018-10-08,105.39468044100019
2018-10-09,105.39468044100019
2018-10-10,105.39468044100019
2018-10-11,105.4042344410002
2018-10-12,105.42334244100022
2018-10-15,105.42334244100022
2018-10-16,105.43289644100018
2018-10-17,105.4137884410002
2018-10-18,105.46155844100018
2018-10-19,105.46155844100018
2018-10-22,105.46155844100018
2018-10-23,105.47111244100019
2018-10-24,105.4806664410002
2018-10-25,105.49977444100017
2018-10-26,105.50932844100016
2018-10-29,105.50932844100016
2018-10-30,105.51888244100016
2018-10-31,105.52843644100017
2018-11-01,105.36601844100018
2018-11-02,105.35646444100017
2018-11-05,105.36601844100016
2018-11-06,105.35646444100016
2018-11-07,105.37557244100016
2018-11-08,105.38512644100014
2018-11-09,105.39468044100015
2018-11-12,105.43289644100014
2018-11-13,105.42334244100016
2018-11-14,105.43289644100012
2018-11-15,105.44245044100013
2018-11-16,105.45200444100013
2018-11-19,105.47111244100013
2018-11-20,105.48066644100014
2018-11-21,105.48066644100014
2018-11-23,105.50932844100012
2018-11-26,105.50932844100012
2018-11-27,105.51888244100012
2018-11-28,105.52843644100012
2018-11-29,105.5379904410001
2018-11-30,105.5475444410001
2018-12-03,106.35349244100011
2018-12-04,105.66662244100011
2018-12-06,106.21659544100011
2018-12-07,105.5095564410001
2018-12-10,105.30745144100011
2018-12-11,105.2157874410001
2018-12-12,105.0302874410001
2018-12-13,104.9460324410001
2018-12-14,104.5548194410001
2018-12-17,103.72552744100011
2018-12-18,104.2208464410001
2018-12-19,103.90675744100011
2018-12-20,103.3694284410001
2018-12-21,102.63358544100012
2018-12-24,101.72222244100011
2018-12-26,102.4442764410001
2018-12-27,102.8140674410001
2018-12-28,103.49885544100013
2018-12-31,104.01510744100014
2019-01-02,104.42966774860012
2019-01-03,105.63942173620015
2019-01-04,104.34995944800013
2019-01-07,104.11607647000012
2019-01-08,103.76672628700013
2019-01-09,103.92078591940012
