"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-03",105.2439,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-04",104.962,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-05",104.6483,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-06",104.2658,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-07",103.7336,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-08",102.9895,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-09",102.0116,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-10",100.879,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-11",99.63653,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-12",98.37959,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-01",97.28364,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-02",96.49379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-03",95.92882,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-04",95.5107,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-05",95.19262,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-06",94.88464,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-07",94.51691,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-08",94.14214,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-09",93.81065,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-10",93.52695,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-11",93.3709,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-12",93.42235,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-01",93.7243,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-02",94.22882,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-03",94.84579,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-04",95.50501,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-05",96.16207,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-06",96.75647,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-07",97.25584,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-08",97.69913,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-09",98.15868,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-10",98.59612,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-11",99.09338,
